names,Dice,IoU,Prec,Rec
242.mat,0.7874255643262706,0.6493832800365463,0.9533869885982562,0.6706770464732248
243.mat,0.9131720430107527,0.8402176601533514,0.9935653699912255,0.8448147227057946
244.mat,0.9501984843016962,0.9051220350635958,0.9320353982300885,0.9690835480309165
245.mat,0.8539246744104189,0.745085995085995,0.97508038585209,0.7595491546649968
246.mat,0.6696696696696697,0.5033860045146726,0.5471050049067714,0.8630030959752322
247.mat,0.918809201623816,0.8498122653316645,0.96243798724309,0.8789644012944984
248.mat,0.8506508875739645,0.7401153212520593,0.9584,0.7646808510638298
249.mat,0.9191076624636275,0.8503230437903805,0.9817654372150849,0.8639679066374909
250.mat,0.5958046336881653,0.42430323299888517,0.4560268392044093,0.8591422121896163
251.mat,0.8663101604278075,0.7641509433962265,0.9854014598540146,0.7729007633587787
252.mat,0.0,0.0,0.0,0.0
253.mat,0.8598290598290599,0.7541229385307346,0.813915857605178,0.9112318840579711
254.mat,0.9214846538187009,0.8544010589013898,0.9506627393225331,0.8940443213296398
255.mat,0.8717195045139617,0.7726088574618534,0.9961612284069098,0.77491601343785
256.mat,0.9385234128124103,0.8841677943166442,0.9561018437225637,0.9215796897038082
257.mat,0.9111313315134971,0.8367688022284122,0.9976751909664563,0.8384035724253419
258.mat,0.9124522536287242,0.8389997190221973,0.8733547821000293,0.9552143314139475
259.mat,0.9479886225111743,0.9011201235998455,0.9745196324143692,0.9228639240506329
260.mat,0.9156346749226006,0.8443968593861527,0.9625711960943857,0.8730627306273063
261.mat,0.8850336613153806,0.793776126335346,0.9655367231638418,0.8169216061185468
262.mat,0.8652371263108468,0.7624827586206897,0.9462512838069155,0.7970011534025375
263.mat,0.80265604249668,0.6703637976929903,0.9993386243386243,0.6706613404349756
264.mat,0.920010490427485,0.8518698397280233,0.9957422651149589,0.8549841579332196
265.mat,0.8617666891436278,0.7571090047393365,0.9978138663335415,0.7583669594113458
266.mat,0.9154929577464789,0.8441558441558441,0.9903047091412742,0.8511904761904762
267.mat,0.9005787781350483,0.8191389798783341,0.9336,0.8698136645962733
268.mat,0.8480565371024735,0.7361963190184049,0.7419898819561551,0.9895052473763118
269.mat,0.0,0.0,0.0,0.0
270.mat,0.0,0.0,0.0,0.0
271.mat,0.9146985273687135,0.8428059395801332,0.8808419550481627,0.9512617992679638
272.mat,0.0,0.0,0.0,0.0
273.mat,0.0,0.0,0.0,0.0
274.mat,0.8309137489325363,0.7107377647918188,1.0,0.7107377647918188
275.mat,0.7554347826086957,0.6069868995633187,1.0,0.6069868995633187
276.mat,0.9099535060252396,0.8347841225626741,0.9696663296258847,0.8571683947086164
277.mat,0.9297197205622423,0.8686693928908462,0.9794289767689307,0.8848125600768985
278.mat,0.9287903371191635,0.8670481319421071,0.9882984845578362,0.8760414895425948
279.mat,0.9434145159335999,0.8928899082568807,0.9825845532559313,0.9072477278023771
280.mat,0.7474589523064894,0.5967540574282147,0.9196729196729196,0.6295686532762594
281.mat,0.8540706605222734,0.7453083109919572,0.9973094170403587,0.7468099395567495
282.mat,0.8890583301563095,0.8002745367192862,0.9320543565147882,0.8498542274052479
283.mat,0.0,0.0,0.0,0.0
284.mat,0.0,0.0,0.0,0.0
285.mat,0.0,0.0,0.0,0.0
286.mat,0.0,0.0,0.0,0.0
287.mat,0.0,0.0,0.0,0.0
288.mat,0.9265870352972755,0.8632158039509877,0.9431693989071038,0.9105776839883936
289.mat,0.8992443324937027,0.816933638443936,0.9064200217627857,0.8921813637986433
290.mat,0.0,0.0,0.0,0.0
291.mat,0.9616613418530351,0.9261538461538461,0.9867311895098345,0.937833827893175
292.mat,0.9686626897228725,0.9392297554546786,0.9735883424408015,0.9637866265965439
293.mat,0.9437023844859999,0.8934057699512926,0.9451050336900515,0.9423038925113614
294.mat,0.8731284475965327,0.7748251748251749,0.9805309734513274,0.7869318181818182
295.mat,0.9498476032141867,0.9044854881266491,0.9896073903002309,0.9131592967501332
296.mat,0.8412167542602326,0.7259483232545355,0.9981103552532123,0.7269474263693917
297.mat,0.9140316205533597,0.8416742493175614,0.9305835010060363,0.8980582524271845
298.mat,0.0,0.0,0.0,0.0
299.mat,0.46141855027279816,0.2998986828774063,0.9899665551839465,0.3008130081300813
300.mat,0.9569615760049693,0.9174749021609665,0.9960284474000185,0.9208436512680386
301.mat,0.9639587847698227,0.9304251323203004,0.9938902060915558,0.9357774534214819
302.mat,0.0,0.0,0.0,0.0
